name	price	products
Rubberbanditz Therapy / Rehabilitation(Rehab) Band Set - Heavy, Robust, Power Bands (#3 - #5)	69.99	1 - Band - RBZ - #03 Heavy, 1 - Band - RBZ - #04 Robust, 1 - Band - RBZ - #05 Power
Rubberbanditz Therapy / Rehabilitation(Rehab) Band Set - Light, Medium, Heavy Bands (#1 - #3)	34.99	1 - Band - RBZ - #01 Light, 1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy
Rubberbanditz Therapy / Rehabilitation(Rehab) Band Set - Robust, Power, Strong Bands (#4 - #6)	98.99	1 - Band - RBZ - #04 Robust, 1 - Band - RBZ - #05 Power, 1 - Band - RBZ - #06 Strong
Rubberbanditz Therapy/Rehabilitation Band - Medium - 20 - 35 lbs. (9 - 16 kg) Resistance	13.95	1 - Band - RBZ - #02 Medium
Soft Hand Grip	9.5	1 - Accessory - Hand Grip
Soft Hand Grips	4.95	1 - Accessory - Hand Grip
Standard Package	59.95	2 - Band - RBZ - #01 Light, 1 - Band - RBZ - #02 Medium, 2 - Accessory - Hand Grip, 1 - Accessory - Door Strap, 2 - Accessory - Carabiner, Metal Small, 1 - Accessory - Travel Bag - Large, 1 - Accessory - DVD, 1 - Accessory - DVD Sleeve, 1 - Accessory - Manual
Strong Resistance Band	54.95	1 - Band - RBZ - #06 Strong
Sunny Health & Fitness Yoga Kit	0.0	1 - ZZ - Do Not Inventory - Yoga Kit
Travel Bag	7.95	1 - Accessory - Travel Bag - Large
Workout Routines (Circuit Training Routine #1)	0.0	1 - ZZ - Do Not Inventory - Band Workout
Workout Routines (Rehab Exercises - Knee Stabilization)	0.0	1 - ZZ - Do Not Inventory - Band Workout
Workout Routines (Rehab Exercises - Shoulder Stabilization)	0.0	1 - ZZ - Do Not Inventory - Band Workout
Workout Routines (Split Routines - Back and Triceps #1)	0.0	1 - ZZ - Do Not Inventory - Band Workout
Rubberbanditz Powerlifting Band - Robust - 40 - 80 lbs. (18 - 36 kg) Resistance	25.5	1 - Band - RBZ - #04 Robust
Rubberbanditz Powerlifting Band Pairs - Strong - 60 - 150 lbs. (27 - 68 kg) Resistance	94.99	2 - Band - RBZ - #06 Strong
Rubberbanditz Therapy/Rehabilitation Band Pairs - Light - 5 - 15 lbs. (2 - 7 kg) Resistance	11.99	2 - Band - RBZ - #01 Light
Rubberbanditz Mobile Therapy / Rehabilitation(Rehab) Exercise Band Package Kit	48.95	2 - Band - RBZ - #01 Light, 2 - Accessory - Hand Grip, 1 - Accessory - Door Strap, 2 - Accessory - Carabiner, Metal Small, 1 - Accessory - Travel Bag - Large, 1 - Accessory - DVD, 1 - Accessory - DVD Sleeve, 1 - Accessory - Manual
Rubberbanditz Pull Up / Crossfit Band - Monster - 80 - 200 lbs. (36 - 91 kg) Resistance	119.95	1 - Band - RBZ - #08 Monster
Workout Routines (Split Routines - Chest and Biceps #1)	0.0	1 - ZZ - Do Not Inventory - Band Workout
Rubberbanditz Therapy/Rehabilitation Band Pairs - Medium - 20 - 35 lbs. (9 - 16 kg) Resistance	24.99	2 - Band - RBZ - #02 Medium
Rubberlution Club T-Shirt (Mens XL)	0.0	1 - ZZ - Do Not Inventory - Tshirt
Rubberbanditz Pull Up / Crossfit Band Pairs - Heavy - 30 - 50 lbs. (14 - 23 kg) Resistance	34.99	2 - Band - RBZ - #03 Heavy
Rubberbanditz Pull Up / Crossfit Band Pairs - Medium - 20 - 35 lbs. (9 - 16 kg) Resistance	24.99	2 - Band - RBZ - #02 Medium
Rubberbanditz Pull Up / Crossfit Band Pairs - Robust - 40 - 80 lbs. (18 - 36 kg) Resistance	43.99	2 - Band - RBZ - #04 Robust
Rubberbanditz Vertical Jumping / Sprinting Band - Power - 50 - 120 lbs. (23 - 54 kg) Resistance	39.95	1 - Band - RBZ - #05 Power
Rubberbanditz Therapy/Rehabilitation Band - Power - 50 - 120 lbs. (23 - 54 kg) Resistance	39.95	1 - Band - RBZ - #05 Power
Rubberbanditz Therapy/Rehabilitation Band - Strong - 60 - 150 lbs. (27 - 68 kg) Resistance	54.95	1 - Band - RBZ - #06 Strong
Rubberbanditz Pull Up / Crossfit Band Pairs - Strong - 60 - 150 lbs. (27 - 68 kg) Resistance	94.99	2 - Band - RBZ - #06 Strong
Deluxe Package V2	74.95	1 - Band - RBZ - #01 Light, 1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy, 1 - Band - RBZ - #04 Robust, 2 - Accessory - Hand Grip, 1 - Accessory - Door Strap, 2 - Accessory - Carabiner, Metal Big, 1 - Accessory - Travel Bag - Large, 1 - Accessory - DVD, 1 - Accessory - DVD Sleeve, 1 - Accessory - Manual
Monster Band	56.95	1 - Band - RBZ - #08 Monster
Basic Package V2	44.95	2 - Accessory - Carabiner, Metal Small, 2 - Accessory - Hand Grip, 1 - Accessory - Door Strap, 1 - Accessory - Travel Bag - Large, 1 - Accessory - DVD, 1 - Accessory - DVD Sleeve, 1 - Accessory - Manual, 1 - Band - RBZ - #01 Light, 1 - Band - RBZ - #02 Medium
CrossFit Ab Mat Back Pad by Rubberbanditz For Total Core Workout	40.95	1 - Back Support Pad
Rubberbanditz Mobile Travel Gym Resistance Exercise Band Package Kit Set - Standard	59.95	2 - Accessory - Carabiner, Metal Small, 2 - Accessory - Hand Grip, 1 - Accessory - Door Strap, 1 - Accessory - Travel Bag - Large, 1 - Accessory - DVD, 1 - Accessory - DVD Sleeve, 1 - Accessory - Manual, 1 - Band - RBZ - #01 Light, 1 - Band - RBZ - #02 Medium, 1 - Band - RBZ - #03 Heavy
